excel_row,status,db_id,excel_name,excel_city,excel_region,excel_address,db_name,db_city,db_region,db_address
427,partial_match,697792902e40cca8d4f82872,Scarborough Day Nursery School,Scarborough¬†Southwest,Toronto,"51 Eastwood Ave, Scarborough, ON M1N 2C1",Scarborough Day Nursery School,Scarborough Southwest,Toronto,"51 Eastwood Ave, Scarborough, ON M1N 2C1"
428,exact_match,697792962e40cca8d4f82d32,Scarborough Jr YMCA,Scarborough Centre,Toronto,"230 Town Centre Court, Scarborough, ON M1P 4Y7",Scarborough Jr YMCA,Scarborough Centre,Toronto,"230 Town Centre Court, Scarborough, ON M1P 4Y7"
429,exact_match,697792962e40cca8d4f82c5d,Scarborough Village Day Nursery 1,Scarborough-Guildwood,Toronto,"215 Markham Road, Scarborough, ON M1J 3C4",Scarborough Village Day Nursery 1,Scarborough-Guildwood,Toronto,"215 Markham Road, Scarborough, ON M1J 3C4"
430,exact_match,697792902e40cca8d4f82873,Scarborough Village Day Nursery 2,Scarborough-Guildwood,Toronto,"155 Markham Road, Scarborough, ON M1M 3A1",Scarborough Village Day Nursery 2,Scarborough-Guildwood,Toronto,"155 Markham Road, Scarborough, ON M1M 3A1"
431,exact_match,6977928e2e40cca8d4f8249a,Score Day Camp,Eglington-Lawrence,Toronto,"2760 Bathurst St, North York, ON M6B 3A1",Score Day Camp,Eglington-Lawrence,Toronto,"2760 Bathurst St, North York, ON M6B 3A1"
432,exact_match,697792902e40cca8d4f82956,Second Street School Age YMCA,Etobicoke-Lakeshore,Toronto,"71 Second Street, Etobicoke, ON M8V 2X4",Second Street School Age YMCA,Etobicoke-Lakeshore,Toronto,"71 Second Street, Etobicoke, ON M8V 2X4"
433,exact_match,6977928e2e40cca8d4f824d6,Secord School Age YMCA,Beaches-East York,Toronto,"91 Barrington Avenue, Toronto, ON M4C 4Y9",Secord School Age YMCA,Beaches-East York,Toronto,"91 Barrington Avenue, Toronto, ON M4C 4Y9"
434,exact_match,697792902e40cca8d4f8288c,Selwyn Community Child Care Centre,Beaches-East York,Toronto,"1 Selwyn Ave, East York, ON M4B 3J9",Selwyn Community Child Care Centre,Beaches-East York,Toronto,"1 Selwyn Ave, East York, ON M4B 3J9"
435,exact_match,6977928e2e40cca8d4f8274a,Shirley Street Jr YMCA,Davenport,Toronto,"38 Shirley Street, Toronto, ON M6K 1S9",Shirley Street Jr YMCA,Davenport,Toronto,"38 Shirley Street, Toronto, ON M6K 1S9"
436,exact_match,6977928e2e40cca8d4f824b9,"Shoreham Public Sports And Wellness Academy, Extended Day Program",Humber River-Black Creek,Toronto,"31 Shoreham Dr, North York, ON, M3N 2S6","Shoreham Public Sports And Wellness Academy, Extended Day Program",Humber River-Black Creek,Toronto,"31 Shoreham Dr, North York, ON, M3N 2S6"
437,exact_match,6977928e2e40cca8d4f827b2,Silver Creek Centre For Early Learning & Development,Etobicoke Centre,Toronto,"65 Hartsdale Dr, Etobicoke, ON M9R 2S8",Silver Creek Centre For Early Learning & Development,Etobicoke Centre,Toronto,"65 Hartsdale Dr, Etobicoke, ON M9R 2S8"
438,exact_match,697792962e40cca8d4f82c60,Sir Samuel B Steele Jr YMCA,Scarborough-Agincourt,Toronto,"131 Huntsmill Boulevard, Scarborough, ON M1W 2Y2",Sir Samuel B Steele Jr YMCA,Scarborough-Agincourt,Toronto,"131 Huntsmill Boulevard, Scarborough, ON M1W 2Y2"
439,exact_match,6977928e2e40cca8d4f827b3,Small World Big Dreams Child Care Centre Inc.,Scarborough Centre,Toronto,"1051 Midland Ave #1085, Scarborough, ON M1K 4G7",Small World Big Dreams Child Care Centre Inc.,Scarborough Centre,Toronto,"1051 Midland Ave #1085, Scarborough, ON M1K 4G7"
440,exact_match,697792902e40cca8d4f82958,Sprucecourt Child Care Centre,Toronto Centre,Toronto,"70 Spruce St., Toronto, ON M5A 2J1",Sprucecourt Child Care Centre,Toronto Centre,Toronto,"70 Spruce St., Toronto, ON M5A 2J1"
