status,excel_name,excel_city,excel_region,excel_address,db_name,db_city,db_region,db_address
exact_match,Plasp Divine Mercy C.S.,Don Valley North,Toronto,"101 Van Horne Ave, North York, ON M2J 2S8",Plasp Divine Mercy C.S.,Don Valley North,Toronto,"101 Van Horne Ave, North York, ON M2J 2S8"
exact_match,Plasp Father Serra Catholic School,Etobicoke Centre,Toronto,"111 Sun Row Dr, Etobicoke, ON M9P 3J3",Plasp Father Serra Catholic School,Etobicoke Centre,Toronto,"111 Sun Row Dr, Etobicoke, ON M9P 3J3"
exact_match,Plasp Holy Angels Catholic School,Etobicoke-Lakeshore,Toronto,"65 Jutland Rd, Etobicoke, ON M8Z 2G6",Plasp Holy Angels Catholic School,Etobicoke-Lakeshore,Toronto,"65 Jutland Rd, Etobicoke, ON M8Z 2G6"
exact_match,Plasp Humber Valley Village Junior Middle School,Etobicoke Centre,Toronto,"65 Hartfield Rd, Etobicoke, ON M9A 3E1",Plasp Humber Valley Village Junior Middle School,Etobicoke Centre,Toronto,"65 Hartfield Rd, Etobicoke, ON M9A 3E1"
exact_match,Plasp Inglewood Heights Junior Public School,Scarborough-Agincourt,Toronto,"45 Dempster St, Scarborough, ON M1T 2T6",Plasp Inglewood Heights Junior Public School,Scarborough-Agincourt,Toronto,"45 Dempster St, Scarborough, ON M1T 2T6"
exact_match,Plasp Islington Junior Middle School,Etobicoke-Lakeshore,Toronto,"44 Cordova Ave, Toronto, ON M9A 2H5",Plasp Islington Junior Middle School,Etobicoke-Lakeshore,Toronto,"44 Cordova Ave, Toronto, ON M9A 2H5"
exact_match,Plasp James Culnan Catholic School,Parkdale-High Park,Toronto,"605 Willard Ave, York, ON M6S 3S1",Plasp James Culnan Catholic School,Parkdale-High Park,Toronto,"605 Willard Ave, York, ON M6S 3S1"
exact_match,Plasp James S Bell Junior Middle School,Etobicoke-Lakeshore,Toronto,"90 Thirty First St., Etobicoke M8W 3E9",Plasp James S Bell Junior Middle School,Etobicoke-Lakeshore,Toronto,"90 Thirty First St., Etobicoke M8W 3E9"
exact_match,Plasp Kingsview Village Junior School,Etobicoke North,Toronto,"1 York Rd, Etobicoke, ON M9R 3C8",Plasp Kingsview Village Junior School,Etobicoke North,Toronto,"1 York Rd, Etobicoke, ON M9R 3C8"
exact_match,Plasp Lanor Junior Middle School,Etobicoke-Lakeshore,Toronto,"450 Lanor Ave, Etobicoke, ON M8W 2S1",Plasp Lanor Junior Middle School,Etobicoke-Lakeshore,Toronto,"450 Lanor Ave, Etobicoke, ON M8W 2S1"
